"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"HDFC","EQ","21-Dec-2021","       2550.30","       2583.75","       2588.90","       2530.00","       2547.00","       2540.85","       2557.57","    2502122","          6399341670.15","     116861","    1548344","         61.88"
"HDFC","EQ","22-Dec-2021","       2540.85","       2551.95","       2557.15","       2520.15","       2550.00","       2539.00","       2535.93","    2763684","          7008496444.90","     156177","    1844291","         66.73"
"HDFC","EQ","23-Dec-2021","       2539.00","       2558.00","       2582.00","       2543.35","       2565.00","       2571.15","       2568.33","    1777068","          4564098093.70","     100219","    1032294","         58.09"
"HDFC","EQ","24-Dec-2021","       2571.15","       2585.00","       2585.00","       2525.50","       2532.50","       2534.55","       2543.72","    1033480","          2628879201.45","      53889","     541308","         52.38"
"HDFC","EQ","27-Dec-2021","       2534.55","       2520.00","       2564.90","       2509.45","       2560.80","       2558.85","       2545.58","     915233","          2329795204.00","      71399","     351712","         38.43"
"HDFC","EQ","28-Dec-2021","       2558.85","       2579.80","       2587.85","       2548.00","       2567.45","       2565.35","       2565.10","    1634180","          4191835122.95","      64656","    1155128","         70.69"
"HDFC","EQ","29-Dec-2021","       2565.35","       2575.00","       2581.00","       2551.00","       2563.00","       2563.55","       2566.75","    1474656","          3785067588.85","      47522","    1027782","         69.70"
"HDFC","EQ","30-Dec-2021","       2563.55","       2561.30","       2579.80","       2545.40","       2570.00","       2563.70","       2565.85","    1558019","          3997637289.75","      70584","     847253","         54.38"
"HDFC","EQ","31-Dec-2021","       2563.70","       2565.00","       2608.65","       2561.00","       2587.00","       2586.45","       2593.21","    2289067","          5936020238.95","      83568","    1727786","         75.48"
"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"HDFC","EQ","03-Jan-2022","       2586.45","       2594.00","       2640.00","       2587.10","       2639.15","       2636.40","       2619.11","    1256497","          3290905540.25","      61114","     739971","         58.89"
"HDFC","EQ","04-Jan-2022","       2636.40","       2645.00","       2678.70","       2620.35","       2675.00","       2675.30","       2653.67","    1846249","          4899339738.10","     111237","    1166780","         63.20"
"HDFC","EQ","05-Jan-2022","       2675.30","       2680.95","       2695.45","       2652.30","       2672.00","       2673.65","       2675.90","    3743882","         10018252554.10","     163505","    2869846","         76.65"
"HDFC","EQ","06-Jan-2022","       2673.65","       2646.35","       2654.75","       2603.50","       2619.00","       2620.40","       2622.02","    4616700","         12105100750.35","      98787","    3115311","         67.48"
"HDFC","EQ","07-Jan-2022","       2620.40","       2606.05","       2618.30","       2585.00","       2598.05","       2596.70","       2596.17","    6185361","         16058237795.15","     169829","    4418785","         71.44"
"HDFC","EQ","10-Jan-2022","       2596.70","       2601.90","       2665.05","       2601.90","       2660.00","       2659.65","       2626.32","    5328083","         13993259962.95","     110165","    3500769","         65.70"
"HDFC","EQ","11-Jan-2022","       2659.65","       2664.00","       2729.00","       2664.00","       2707.65","       2710.95","       2701.56","    4170007","         11265543697.20","     167338","    2634998","         63.19"
"HDFC","EQ","12-Jan-2022","       2710.95","       2736.00","       2752.00","       2713.05","       2735.00","       2737.50","       2735.30","    2695634","          7373367877.05","     111173","    1913614","         70.99"
"HDFC","EQ","13-Jan-2022","       2737.50","       2750.00","       2762.00","       2726.10","       2757.30","       2756.00","       2746.92","    2011413","          5525183512.80","     115235","    1408990","         70.05"
"HDFC","EQ","14-Jan-2022","       2756.00","       2712.00","       2731.60","       2687.30","       2710.95","       2712.45","       2709.00","    1765906","          4783840335.30","     102510","     976258","         55.28"
"HDFC","EQ","17-Jan-2022","       2712.45","       2710.60","       2733.10","       2692.50","       2697.10","       2702.70","       2706.76","    1614989","          4371385431.80","      97244","    1110783","         68.78"
"HDFC","EQ","18-Jan-2022","       2702.70","       2713.00","       2713.55","       2656.80","       2661.00","       2662.50","       2681.35","    2086266","          5594002544.15","     142910","    1487266","         71.29"
"HDFC","EQ","19-Jan-2022","       2662.50","       2681.00","       2698.85","       2608.10","       2617.20","       2620.25","       2627.64","    1793748","          4713326730.55","     160027","    1128754","         62.93"
"HDFC","EQ","20-Jan-2022","       2620.25","       2612.65","       2630.00","       2543.40","       2571.00","       2569.30","       2572.45","    3759429","          9670953094.50","     189896","    2730671","         72.64"
"HDFC","EQ","21-Jan-2022","       2569.30","       2553.50","       2605.35","       2542.05","       2599.80","       2592.95","       2577.62","    3952946","         10189204401.15","     160605","    2391290","         60.49"
"HDFC","EQ","24-Jan-2022","       2592.95","       2571.65","       2601.80","       2510.35","       2528.00","       2539.80","       2553.94","    2340062","          5976368049.35","     146189","    2509724","         67.22"
"HDFC","EQ","25-Jan-2022","       2539.80","       2500.00","       2540.70","       2473.80","       2530.10","       2530.60","       2506.36","    4528568","         11350226970.90","     203027","    3024180","         66.78"
"HDFC","EQ","27-Jan-2022","       2530.60","       2505.60","       2514.00","       2448.60","       2510.50","       2503.35","       2480.25","    6600059","         16369774021.20","     230610","    4607609","         69.81"
"HDFC","EQ","28-Jan-2022","       2503.35","       2513.70","       2556.80","       2488.70","       2513.10","       2516.50","       2532.79","    4885166","         12373087203.35","     151434","    3409861","         69.80"
"HDFC","EQ","31-Jan-2022","       2516.50","       2541.80","       2561.40","       2513.15","       2518.00","       2521.00","       2531.03","    3306726","          8369409170.00","     130516","    2203648","         66.64"
"HDFC","EQ","01-Feb-2022","       2521.00","       2552.60","       2596.00","       2510.30","       2569.90","       2565.35","       2566.28","    2980741","          7649429322.75","     135735","    1580517","         53.02"
"HDFC","EQ","02-Feb-2022","       2565.35","       2583.20","       2623.30","       2580.70","       2617.00","       2612.95","       2601.77","    4160178","         10823813427.65","     159412","    2272531","         54.63"
"HDFC","EQ","03-Feb-2022","       2612.95","       2613.00","       2620.00","       2520.00","       2521.50","       2527.80","       2545.51","    4647089","         11829214749.90","     243196","    2714821","         58.42"
"HDFC","EQ","04-Feb-2022","       2527.80","       2546.50","       2547.00","       2497.00","       2502.00","       2503.25","       2514.21","    4404184","         11073056373.45","     239694","    3052324","         69.31"
"HDFC","EQ","07-Feb-2022","       2503.25","       2488.50","       2512.10","       2420.00","       2426.70","       2428.15","       2450.97","    3664108","          8980613666.50","     200599","    2345861","         64.02"
"HDFC","EQ","08-Feb-2022","       2428.15","       2441.00","       2452.00","       2405.00","       2410.95","       2414.60","       2419.05","    6127473","         14822659696.70","     226531","    4491186","         73.30"
"HDFC","EQ","09-Feb-2022","       2414.60","       2432.00","       2442.50","       2402.50","       2440.40","       2435.35","       2420.78","    7141774","         17288694746.25","     215047","    5527426","         77.40"
"HDFC","EQ","10-Feb-2022","       2435.35","       2462.00","       2505.70","       2441.60","       2472.00","       2476.55","       2475.77","    6346218","         15711797903.85","     277489","    4321538","         68.10"
"HDFC","EQ","11-Feb-2022","       2476.55","       2449.95","       2449.95","       2417.10","       2422.00","       2426.35","       2430.18","    4062444","          9872488534.55","     196048","    2706316","         66.62"
"HDFC","EQ","14-Feb-2022","       2426.35","       2390.00","       2390.00","       2290.00","       2290.90","       2296.80","       2325.68","    5903697","         13730084884.55","     329805","    3911777","         66.26"
